Customer Name,Customer Name (Orders$1),Customer Segment,Customer Segment (Orders$1),Order Date,Order Date (Orders$1),Order ID,Order ID (Orders$1),Order Priority,Order Priority (Orders$1),Product Category,Product Category (Orders$1),Product Container,Product Container (Orders$1),Product Name,Product Name (Orders$1),Product Sub-Category,Product Sub-Category (Orders$1),Province,Province (Orders$1),Region,Region (Orders$1),Row ID,Row ID (Orders$1),Ship Date,Ship Date (Orders$1),Ship Mode,Ship Mode (Orders$1),Antecedent All Order IDs,Co-occurance Order IDs,Consequent All Order IDs,Discount,Discount (Orders$1),Donut,Number of Records,One,Order Quantity,Order Quantity (Orders$1),Product Base Margin,Product Base Margin (Orders$1),Profit,Profit (Orders$1),Sales,Sales (Orders$1),Shipping Cost,Shipping Cost (Orders$1),Unit Price,Unit Price (Orders$1)
Alan Schoenberger,Alan Schoenberger,Corporate,Corporate,1/2/2009 12:00:00 AM,1/2/2009 12:00:00 AM,37537,37537,Low,Low,Office Supplies,Furniture,Small Box,Jumbo Drum,"Dual Level, Single-Width Filing Carts",Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Storage & Organization,Chairs & Chairmats,British Columbia,British Columbia,West,West,5274,5272,1/9/2009 12:00:00 AM,1/2/2009 12:00:00 AM,Regular Air,Delivery Truck,,,,0.05,0,0,1,1,32,4,0.59,0.56,1438.49,-193.08,4902.38,1239.06,7.07,48.8,155.06,291.73
Alan Schoenberger,Alan Schoenberger,Corporate,Corporate,1/2/2009 12:00:00 AM,1/2/2009 12:00:00 AM,37537,37537,Low,Low,Office Supplies,Furniture,Small Box,Jumbo Drum,"Dual Level, Single-Width Filing Carts",Hon Valutask™ Swivel Chairs,Storage & Organization,Chairs & Chairmats,British Columbia,British Columbia,West,West,5274,5273,1/9/2009 12:00:00 AM,1/4/2009 12:00:00 AM,Regular Air,Delivery Truck,,,,0.05,0.07,0,1,1,32,43,0.59,0.69,1438.49,-1049.85,4902.38,4083.19,7.07,45,155.06,100.98
Alan Schoenberger,Alan Schoenberger,Corporate,Corporate,1/2/2009 12:00:00 AM,1/2/2009 12:00:00 AM,37537,37537,Low,Low,Furniture,Office Supplies,Jumbo Drum,Small Box,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,"Dual Level, Single-Width Filing Carts",Chairs & Chairmats,Storage & Organization,British Columbia,British Columbia,West,West,5272,5274,1/2/2009 12:00:00 AM,1/9/2009 12:00:00 AM,Delivery Truck,Regular Air,,,,0,0.05,0,1,1,4,32,0.56,0.59,-193.08,1438.49,1239.06,4902.38,48.8,7.07,291.73,155.06
Alan Schoenberger,Alan Schoenberger,Corporate,Corporate,1/2/2009 12:00:00 AM,1/2/2009 12:00:00 AM,37537,37537,Low,Low,Furniture,Office Supplies,Jumbo Drum,Small Box,Hon Valutask™ Swivel Chairs,"Dual Level, Single-Width Filing Carts",Chairs & Chairmats,Storage & Organization,British Columbia,British Columbia,West,West,5273,5274,1/4/2009 12:00:00 AM,1/9/2009 12:00:00 AM,Delivery Truck,Regular Air,,,,0.07,0.05,0,1,1,43,32,0.69,0.59,-1049.85,1438.49,4083.19,4902.38,45,7.07,100.98,155.06
Patrick Jones,Patrick Jones,Home Office,Home Office,1/3/2009 12:00:00 AM,1/3/2009 12:00:00 AM,40354,40354,High,High,Office Supplies,Furniture,Small Box,Jumbo Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Bush Advantage Collection® Round Conference Table,Binders and Binder Accessories,Tables,New Brunswick,New Brunswick,Atlantic,Atlantic,5704,5705,1/4/2009 12:00:00 AM,1/4/2009 12:00:00 AM,Regular Air,Delivery Truck,,,,0.03,0.09,0,1,1,29,4,0.37,0.64,12.5545,-93.16,172.51,698,2.99,52.2,5.58,212.6
Patrick Jones,Patrick Jones,Home Office,Home Office,1/3/2009 12:00:00 AM,1/3/2009 12:00:00 AM,40354,40354,High,High,Furniture,Office Supplies,Jumbo Box,Small Box,Bush Advantage Collection® Round Conference Table,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Tables,Binders and Binder Accessories,New Brunswick,New Brunswick,Atlantic,Atlantic,5705,5704,1/4/2009 12:00:00 AM,1/4/2009 12:00:00 AM,Delivery Truck,Regular Air,,,40354,0.09,0.03,0,1,1,4,29,0.64,0.37,-93.16,12.5545,698,172.51,52.2,2.99,212.6,5.58
Bill Donatelli,Bill Donatelli,Corporate,Corporate,1/3/2009 12:00:00 AM,1/3/2009 12:00:00 AM,30016,30016,Critical,Critical,Technology,Office Supplies,Small Box,Small Box,T18,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Telephones and Communication,Paper,Ontario,Ontario,Ontario,Ontario,4224,4223,1/6/2009 12:00:00 AM,1/5/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.01,0.03,0,1,1,8,15,0.57,0.4,-212.553,-41.58,754.6555,85.56,2.5,5.66,110.99,5.28
Andy Reiter,Andy Reiter,Corporate,Corporate,1/3/2009 12:00:00 AM,1/3/2009 12:00:00 AM,9637,9637,Low,Low,Office Supplies,Technology,Wrap Bag,Small Box,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack","Fellowes Mobile Numeric Keypad, Graphite",Paper,Computer Peripherals,Saskachewan,Saskachewan,Prarie,Prarie,1317,1315,1/7/2009 12:00:00 AM,1/5/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.04,0.08,0,1,1,12,12,0.36,0.66,32.44,-236.43,123.76,522.49,2.27,16.71,10.14,43.22
Andy Reiter,Andy Reiter,Corporate,Corporate,1/3/2009 12:00:00 AM,1/3/2009 12:00:00 AM,9637,9637,Low,Low,Technology,Technology,Large Box,Small Box,Polycom ViaVideo™ Desktop Video Communications Unit,"Fellowes Mobile Numeric Keypad, Graphite",Office Machines,Computer Peripherals,Saskachewan,Saskachewan,Prarie,Prarie,1316,1315,1/10/2009 12:00:00 AM,1/5/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.05,0.08,0,1,1,49,12,0.37,0.66,14440.39,-236.43,28359.4,522.49,24.49,16.71,574.74,43.22
Bill Donatelli,Bill Donatelli,Corporate,Corporate,1/3/2009 12:00:00 AM,1/3/2009 12:00:00 AM,30016,30016,Critical,Critical,Office Supplies,Technology,Small Box,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),T18,Paper,Telephones and Communication,Ontario,Ontario,Ontario,Ontario,4223,4224,1/5/2009 12:00:00 AM,1/6/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.03,0.01,0,1,1,15,8,0.4,0.57,-41.58,-212.553,85.56,754.6555,5.66,2.5,5.28,110.99
